101,California,Pac-12,6,6,.500,4,5,.444,31.6,32.7,3.31,3.81,,,,
102,Washington State,Pac-12,5,7,.417,2,7,.222,31.7,28.1,4.38,3.54,,,13,
103,Arizona State,Pac-12,3,9,.250,2,7,.222,17.8,31.8,-4.12,5.55,,,,
104,Stanford,Pac-12,3,9,.250,2,7,.222,20.6,37.7,-4.81,5.86,,,,
105,Colorado,Pac-12,4,8,.333,1,8,.111,28.2,34.8,0.94,5.19,,,18,
106,Georgia,SEC (East),12,0,1.000,8,0,1.000,39.6,15.8,18.81,0.64,1,1,1,
107,Missouri,SEC (East),10,2,.833,6,2,.750,34.1,22.3,14.90,3.49,9,,9,
108,Tennessee,SEC (East),8,4,.667,4,4,.500,31.5,22.0,8.86,2.78,,12,9,
109,Kentucky,SEC (East),7,5,.583,3,5,.375,28.6,24.8,5.34,1.67,,,20,
110,Florida,SEC (East),5,7,.417,3,5,.375,28.4,27.6,3.22,4.22,,,22,
111,South Carolina,SEC (East),5,7,.417,3,5,.375,26.0,26.3,2.33,4.33,,,,
112,Vanderbilt,SEC (East),2,10,.167,0,8,.000,22.8,36.2,-9.27,3.65,,,,
113,Alabama,SEC (West),11,1,.917,8,0,1.000,35.8,17.9,17.33,3.83,8,4,3,
114,Ole Miss,SEC (West),10,2,.833,6,2,.750,34.8,22.3,12.29,2.87,11,22,10,
115,LSU,SEC (West),9,3,.750,6,2,.750,46.4,27.8,14.78,4.45,13,5,5,
116,Texas A&M,SEC (West),7,5,.583,4,4,.500,34.2,21.3,9.90,2.40,,23,23,
117,Auburn,SEC (West),6,6,.500,3,5,.375,27.3,21.9,5.32,3.16,,,,
118,Mississippi State,SEC (West),5,7,.417,1,7,.125,21.8,26.6,-0.69,3.56,,,,
119,Arkansas,SEC (West),4,8,.333,1,7,.125,26.6,27.9,0.25,1.75,,,,
120,James Madison,Sun Belt (East),11,1,.917,7,1,.875,35.2,18.5,10.34,-3.00,24,,18,
121,Appalachian State,Sun Belt (East),8,4,.667,6,2,.750,35.8,26.7,4.74,-3.76,,,,
122,Coastal Carolina,Sun Belt (East),7,5,.583,5,3,.625,28.0,24.7,0.41,-1.76,,,,
123,Old Dominion,Sun Belt (East),6,6,.500,5,3,.625,22.9,26.3,-3.50,-1.09,,,,
124,Georgia Southern,Sun Belt (East),6,6,.500,3,5,.375,30.9,29.6,-4.08,-3.67,,,,
125,Georgia State,Sun Belt (East),6,6,.500,3,5,.375,25.8,30.8,-4.29,-1.29,,,,
126,Marshall,Sun Belt (East),6,6,.500,3,5,.375,23.3,28.2,-4.64,-0.89,,,,
127,Troy,Sun Belt (West),10,2,.833,7,1,.875,29.7,16.7,9.77,-2.14,,,,
128,Texas State,Sun Belt (West),7,5,.583,4,4,.500,36.0,33.8,-1.78,-4.45,,,,
129,Arkansas State,Sun Belt (West),6,6,.500,4,4,.500,27.8,31.2,-1.55,-2.05,,,,
130,South Alabama,Sun Belt (West),6,6,.500,4,4,.500,30.9,21.9,1.48,-2.44,,,,
131,Louisiana,Sun Belt (West),6,6,.500,3,5,.375,32.3,28.2,-2.05,-5.05,,,,
132,Southern Mississippi,Sun Belt (West),3,9,.250,2,6,.250,23.2,35.8,-7.97,-0.05,,,,
133,Louisiana-Monroe,Sun Belt (West),2,10,.167,0,8,.000,17.3,34.9,-13.03,-0.20,,,,
